Age	Income	Education	Employment	Property	Credit
22	25	School	Unemployed	Rent	0
25	32	Graduate	Employed	Rent	0
28	38	Graduate	Employed	Own	1
31	45	Postgraduate	Employed	Own	1
35	55	Graduate	Employed	Own	1
39	65	Postgraduate	Employed	Own	1
42	72	Graduate	Self-employed	Own	1
45	80	Postgraduate	Employed	Own	1
48	90	Postgraduate	Self-employed	Own	1
52	105	Graduate	Employed	Own	1
55	120	Postgraduate	Self-employed	Own	1
29	42	Graduate	Employed	Rent	0
33	50	School	Unemployed	Rent	1
41	70	Graduate	Employed	Own	1
50	95	Postgraduate	Self-employed	Own	1
24	28	School	Unemployed	Rent	0
37	60	Graduate	Employed	Own	1
46	85	Postgraduate	Self-employed	Own	1
58	130	Postgraduate	Employed	Own	1
32	48	Graduate	Employed	Rent	0
